web-scraper-order,web-scraper-start-url,container_url,container_url-href,nbre_pieces,nbre_salles_bain,superficie,adresse
"1750612303-61","https://sn.coinafrique.com/categorie/appartements?page=59","Location appartement 3 pièces - Sicap Foire","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-sicap-foire-4476358","3","1","80","Sicap foire, Dakar, Sénégal"
"1750612311-62","https://sn.coinafrique.com/categorie/appartements?page=58","Location appartement 03 pièces - Sicap Foire","https://sn.coinafrique.com/annonce/appartements/location-appartement-03-pieces-sicap-foire-4490955","3","2","140","Sicap foire, Dakar, Sénégal"
"1750612319-63","https://sn.coinafrique.com/categorie/appartements?page=57","Location appartement 4 pièces - Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadies-4506652","4","2","180","Almadies, Dakar, Sénégal"
"1750612329-64","https://sn.coinafrique.com/categorie/appartements?page=56","Location appartement 4 pièces - Ngor","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ngor-4486022","4","3","160","Ngor, Dakar, Sénégal"
"1750612337-65","https://sn.coinafrique.com/categorie/appartements?page=55","Location appartement 5 pièces - Yoff virage","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-yoff-virage-4494504","5","4","","Yoff, Dakar, Sénégal"
"1750612345-66","https://sn.coinafrique.com/categorie/appartements?page=54","Location appartement 5 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartement-5-pieces-mamelles-4551715","5","4","1","Mamelles, Dakar, Sénégal"
"1750612355-67","https://sn.coinafrique.com/categorie/appartements?page=53","Location appartement 4 pièces - Mermoz-Sacré Coeur","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-sacre-coeur-4571924","4","2","1","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1750612363-68","https://sn.coinafrique.com/categorie/appartements?page=52","Location appartement 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-4546317","4","3","","Mamelles, Dakar, Sénégal"
"1750612371-69","https://sn.coinafrique.com/categorie/appartements?page=51","Location appartement F4 - Point E","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-point-e-4552239","4","4","","Point E, Dakar, Sénégal"
"1750612382-70","https://sn.coinafrique.com/categorie/appartements?page=50","Location appartement 4 pièces - Virage","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-virage-4569552","4","5","","Almadies, Dakar, Sénégal"
