web-scraper-order,web-scraper-start-url,container_url,container_url-href,nbre_pieces,nbre_salles_bain,superficie,adresse
"1750611849-21","https://sn.coinafrique.com/categorie/appartements?page=99","Location appartement 4 pièces - Sicap Liberté","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-sicap-liberte-3797320","4","3","","Sicap Liberté, Dakar, Sénégal"
"1750611860-22","https://sn.coinafrique.com/categorie/appartements?page=98","Location appartement 4 pièces - Almadie","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-almadie-3785158","4","3","250 m2","Almadies, Dakar, Sénégal"
"1750611873-23","https://sn.coinafrique.com/categorie/appartements?page=97","Location appartements  F4 3 pièces - almadies","https://sn.coinafrique.com/annonce/appartements/location-appartements-f4-3-pieces-almadies-3798689","126","","","Almadies, Dakar, Sénégal"
"1750611886-24","https://sn.coinafrique.com/categorie/appartements?page=96","Location appartement 4 pièces - Mermoz Sacré Coeur","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mermoz-sacre-coeur-3812314","4","4","342","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1750611897-25","https://sn.coinafrique.com/categorie/appartements?page=95","Location appartement 4 pièces - Scat Urban","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-scat-urban-3832717","","","","Sicap foire, Dakar, Sénégal"
"1750611908-26","https://sn.coinafrique.com/categorie/appartements?page=94","Location appartement 4 pièces - Mamelles","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-mamelles-3849212","","","","Mamelles, Dakar, Sénégal"
"1750611924-27","https://sn.coinafrique.com/categorie/appartements?page=93","Location appartements 5 pièces - Dakar plateau","https://sn.coinafrique.com/annonce/appartements/location-appartements-5-pieces-dakar-plateau-3868245","5","4","","Dakar Plateau, Dakar, Sénégal"
"1750611937-28","https://sn.coinafrique.com/categorie/appartements?page=92","Location Appartement 4 pièces - Patte d'oie","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-patte-doie-3930608","3","4","100","Patte d'oie, Dakar, Sénégal"
"1750611947-29","https://sn.coinafrique.com/categorie/appartements?page=91","Location villa duplex  190m² standing entré Ouakam","https://sn.coinafrique.com/annonce/appartements/location-villa-duplex-190m-standing-entre-ouakam-3912121","4","4","200 m2","Ouakam, Dakar, Sénégal"
"1750611962-30","https://sn.coinafrique.com/categorie/appartements?page=90","Location appartement 4 pièces haut standing à Amitié","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-haut-standing-a-amitie-3925696","4","3","165 m2","Dakar, Sénégal"
"1750611972-31","https://sn.coinafrique.com/categorie/appartements?page=89","Vente appartements 4 pièces - Dakar","https://sn.coinafrique.com/annonce/appartements/vente-appartements-4-pieces-dakar-3942512","4","2","100","Dakar, Sénégal"
"1750611987-32","https://sn.coinafrique.com/categorie/appartements?page=88","Location appartement 4 pièces - Ngor Almadies","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-ngor-almadies-3957663","4","3","300 m2","Sicap Liberté, Dakar, Sénégal"
"1750611999-33","https://sn.coinafrique.com/categorie/appartements?page=87","Location villa duplex 4 pièces - Sacré-cœur 1","https://sn.coinafrique.com/annonce/appartements/location-villa-duplex-4-pieces-sacre-cur-1-3976739","4","4","340","Sacré-Coeur, Dakar, Sénégal"
"1750612010-34","https://sn.coinafrique.com/categorie/appartements?page=86","Location appartements 05 pièces - Fann","https://sn.coinafrique.com/annonce/appartements/location-appartements-05-pieces-fann-3987339","5","4","280","Fann, Dakar, Sénégal"
