Superficie,Prix,Adresse,Image_url
1502.0,30000000.0,Rufisque,https://images.coinafrique.com/thumb_5371976_uploaded_image1_1749768333.jpg
221.0,130000000.0,Almadies,https://images.coinafrique.com/thumb_5367153_uploaded_image1_1749506802.jpg
1802.0,2500000.0,Thies,https://images.coinafrique.com/thumb_5371812_uploaded_image1_1749757871.jpg
150.0,140000000.0,Mamelles,https://images.coinafrique.com/thumb_5330860_uploaded_image1_1747388916.jpg
180.0,1250000.0,Thies,https://images.coinafrique.com/thumb_5340003_uploaded_image1_1747902675.jpg
1001.0,515000000.0,Mamelles,https://images.coinafrique.com/thumb_5329816_uploaded_image1_1747328205.jpg
1001.0,515000000.0,Mamelles,https://images.coinafrique.com/thumb_5329825_uploaded_image1_1747328323.jpg
150.0,10000000.0,Rufisque,https://images.coinafrique.com/thumb_5369369_uploaded_image1_1749640264.jpg
225.0,20000000.0,Toubab Dialao,https://images.coinafrique.com/thumb_5340152_uploaded_image1_1747907827.jpg
1502.0,2000000.0,Rufisque,https://images.coinafrique.com/thumb_5369154_uploaded_image1_1749632992.jpg
150.0,20000000.0,Keur Massar,https://images.coinafrique.com/thumb_5368851_uploaded_image1_1749601884.jpg
150.0,3100000.0,Thies,https://images.coinafrique.com/thumb_5368184_uploaded_image2_1749569251.jpeg
150.0,20000000.0,Rufisque,https://images.coinafrique.com/thumb_5368153_uploaded_image1_1749567726.jpg
2602.0,55000000.0,Mbour,https://images.coinafrique.com/thumb_5368148_uploaded_image1_1749567375.jpg
150.0,15000000.0,Keur Massar,https://images.coinafrique.com/thumb_5331210_uploaded_image1_1747398157.jpg
300.0,16000000.0,Saly,https://images.coinafrique.com/thumb_5331153_uploaded_image1_1747397370.jpg
600.0,6000000.0,Toubab Dialao,https://images.coinafrique.com/thumb_5331100_uploaded_image1_1747396114.jpg
225.0,2000000.0,Toubab Dialao,https://images.coinafrique.com/thumb_5330921_uploaded_image1_1747391413.jpg
150.0,9000000.0,Diamniadio,https://images.coinafrique.com/thumb_5330903_uploaded_image1_1747390432.jpg
150.0,3000000.0,Toubab Dialao,https://images.coinafrique.com/thumb_5330891_uploaded_image1_1747390090.jpg
2002.0,4000000.0,Mbour,https://images.coinafrique.com/thumb_5367726_uploaded_image1_1749551036.jpg
600.0,36000000.0,Saly,https://images.coinafrique.com/thumb_5367164_uploaded_image1_1749507597.jpg
300.0,18000000.0,Saly,https://images.coinafrique.com/thumb_5367001_uploaded_image1_1749500046.jpg
300.0,50000000.0,Saint Louis,https://images.coinafrique.com/thumb_5366531_uploaded_image1_1749477419.jpg
2602.0,2900000000.0,Ngor,https://images.coinafrique.com/thumb_5325479_uploaded_image1_1747132301.jpg
197.0,150000000.0,Almadies,https://images.coinafrique.com/thumb_5320967_uploaded_image1_1746865319.jpg
600.0,35000000.0,Lac rose,https://images.coinafrique.com/thumb_5326543_uploaded_image1_1747174521.jpg
200.0,135000000.0,Almadies,https://images.coinafrique.com/thumb_5326488_uploaded_image1_1747172508.jpg
100.0,80000000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5322472_uploaded_image1_1746972745.jpg
250.0,180000000.0,Dieuppeul-Derklé,https://images.coinafrique.com/thumb_5322468_uploaded_image1_1746972495.jpg
1502.0,10000000.0,Almadies 2,https://images.coinafrique.com/thumb_5362660_uploaded_image1_1749186968.jpg
5002.0,110000000.0,Guediawaye,https://images.coinafrique.com/thumb_5362657_uploaded_image1_1749186675.jpg
4000.0,140000000.0,Saly,https://images.coinafrique.com/thumb_5320491_uploaded_image1_1746822505.jpg
5972.0,500000000.0,Dakar,https://images.coinafrique.com/thumb_5333909_uploaded_image1_1747569920.jpg
34002.0,30000000.0,Dakar,https://images.coinafrique.com/thumb_5356323_uploaded_image1_1748866551.jpg
150.0,12500000.0,Keur Massar,https://images.coinafrique.com/thumb_5360886_uploaded_image2_1749068432.jpeg
35002.0,750000.0,Dakar,https://images.coinafrique.com/thumb_5332754_uploaded_image1_1747485393.jpg
150.0,16000000.0,Rufisque,https://images.coinafrique.com/thumb_5359956_uploaded_image1_1749034941.jpg
1502.0,6000000.0,Dakar,https://images.coinafrique.com/thumb_5354371_uploaded_image1_1748761237.jpg
5000002.0,4950000.0,Thies,https://images.coinafrique.com/thumb_5313640_uploaded_image1_1746494985.jpg
2000002.0,4950000.0,Thies,https://images.coinafrique.com/thumb_5313635_uploaded_image1_1746494216.jpg
2000002.0,49500000.0,Thies,https://images.coinafrique.com/thumb_5313634_uploaded_image1_1746494094.jpg
4802.0,45000000.0,Dakar,https://images.coinafrique.com/thumb_5316997_uploaded_image1_1746661801.jpg
13002.0,1950000000.0,Dakar,https://images.coinafrique.com/thumb_5326365_uploaded_image1_1747167583.jpg
150.0,1700000.0,Toubab Dialao,https://images.coinafrique.com/thumb_5359163_uploaded_image1_1748983800.jpg
1502.0,10000000.0,Dakar,https://images.coinafrique.com/thumb_5358402_uploaded_image1_1748952984.jpg
2922.0,130000000.0,Dakar,https://images.coinafrique.com/thumb_5358172_uploaded_image1_1748947678.jpg
1502.0,35000000.0,Dakar,https://images.coinafrique.com/thumb_5358028_uploaded_image1_1748944092.jpg
10002.0,3000000.0,Dakar,https://images.coinafrique.com/thumb_5334919_uploaded_image1_1747646379.jpg
1300002.0,25000.0,Dakar,https://images.coinafrique.com/thumb_5348720_uploaded_image1_1748389142.jpg
150.0,,Lac rose,https://images.coinafrique.com/thumb_5357494_uploaded_image1_1748907574.jpg
1502.0,2800000.0,Dakar,https://images.coinafrique.com/thumb_5330061_uploaded_image1_1747335253.jpg
1502.0,4000000.0,Rufisque,https://images.coinafrique.com/thumb_5356954_uploaded_image1_1748887229.jpg
200.0,200000000.0,Mamelles,https://images.coinafrique.com/thumb_5314125_uploaded_image1_1746526907.jpg
4402.0,175000000.0,Dakar,https://images.coinafrique.com/thumb_5354973_uploaded_image1_1748796467.jpg
200.0,112000000.0,Mamelles,https://images.coinafrique.com/thumb_5312923_uploaded_image1_1746456606.jpg
2071.0,,Almadies,https://images.coinafrique.com/thumb_5312554_uploaded_image1_1746445016.jpg
1502.0,25000000.0,Dakar,https://images.coinafrique.com/thumb_5354600_uploaded_image1_1748774030.jpg
146.0,65000000.0,Mariste,https://images.coinafrique.com/thumb_5354006_uploaded_image1_1748728169.jpg
225.0,3000000.0,Toubab Dialao,https://images.coinafrique.com/thumb_5312904_uploaded_image1_1746455581.jpg
150.0,5000000.0,Toubab Dialao,https://images.coinafrique.com/thumb_5312899_uploaded_image1_1746455451.jpg
192.0,15000000.0,Thies,https://images.coinafrique.com/thumb_5352116_uploaded_image1_1748600435.jpg
6002.0,2000000.0,Thies,https://images.coinafrique.com/thumb_5352042_uploaded_image2_1748597963.jpeg
300.0,4000000.0,Rufisque,https://images.coinafrique.com/thumb_5351324_uploaded_image1_1748545484.jpg
150.0,50000000.0,Guediawaye,https://images.coinafrique.com/thumb_5351115_uploaded_image1_1748533453.jpg
150.0,2500000.0,Lac rose,https://images.coinafrique.com/thumb_5351059_uploaded_image1_1748529694.jpg
1502.0,3000000.0,Dakar,https://images.coinafrique.com/thumb_5350488_uploaded_image1_1748499893.jpg
170.0,17000000.0,Keur Massar,https://images.coinafrique.com/thumb_5350478_uploaded_image1_1748498747.jpg
5002.0,10000000.0,Touba,https://images.coinafrique.com/thumb_5350331_uploaded_image1_1748475265.jpg
150.0,10000000.0,Dakar,https://images.coinafrique.com/thumb_5350299_uploaded_image1_1748473892.jpg
150.0,12000000.0,Keur Massar,https://images.coinafrique.com/thumb_5349464_uploaded_image2_1748438026.jpeg
150.0,2000000.0,Rufisque,https://images.coinafrique.com/thumb_5349182_uploaded_image2_1748427488.jpeg
300.0,65000000.0,Thies,https://images.coinafrique.com/thumb_5348964_uploaded_image1_1748418524.jpg
149.0,25000000.0,Mbao,https://images.coinafrique.com/thumb_5304775_uploaded_image1_1746010159.jpg
146.0,75000000.0,Mariste,https://images.coinafrique.com/thumb_5347113_uploaded_image1_1748301928.jpg
1300002.0,,Mbour,https://images.coinafrique.com/thumb_5346402_uploaded_image1_1748271964.jpg
2502.0,220000000.0,Sicap Liberté,https://images.coinafrique.com/thumb_5346391_uploaded_image1_1748271641.jpg
19000.0,65000000.0,Mbour,https://images.coinafrique.com/thumb_5345794_uploaded_image1_1748254444.jpg
150.0,35000000.0,Guediawaye,https://images.coinafrique.com/thumb_5345546_uploaded_image1_1748243886.jpg
3002.0,22000000.0,Mbour,https://images.coinafrique.com/thumb_5345368_uploaded_image1_1748217010.jpg
150.0,31000000.0,Guediawaye,https://images.coinafrique.com/thumb_5303875_uploaded_image1_1745948959.jpg
1502.0,4500000.0,Rufisque,https://images.coinafrique.com/thumb_5343597_uploaded_image1_1748097217.jpg
350.0,610000000.0,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5300540_uploaded_image1_1745756500.jpg
1502.0,4500000.0,Parcelle Assainies,https://images.coinafrique.com/thumb_5343494_uploaded_image1_1748091727.jpg
150.0,2500000.0,Rufisque,https://images.coinafrique.com/thumb_5343460_uploaded_image1_1748090375.jpg
1802.0,2000000.0,Thies,https://images.coinafrique.com/thumb_5342438_uploaded_image1_1748026500.jpg
625.0,600000000.0,Sacré-Coeur,https://images.coinafrique.com/thumb_5342324_uploaded_image1_1748022363.jpg
400.0,300000000.0,Dieuppeul-Derklé,https://images.coinafrique.com/thumb_5342320_uploaded_image1_1748022190.jpg
200.0,150000000.0,Sicap foire,https://images.coinafrique.com/thumb_5341720_uploaded_image1_1747996168.jpg
1502.0,14000000.0,Thies,https://images.coinafrique.com/thumb_5308306_uploaded_image1_1746192019.jpg
200.0,17000000.0,Thies,https://images.coinafrique.com/thumb_5292933_uploaded_image1_1745334524.jpg
,180000000.0,Thies,https://images.coinafrique.com/thumb_5297875_uploaded_image1_1745579881.14.jpeg
,15000000.0,Mbour,https://images.coinafrique.com/thumb_5297870_uploaded_image1_1745579627.16.jpeg
1912.0,14000000.0,Keur Massar,https://images.coinafrique.com/thumb_5315826_uploaded_image1_1746614645.34.jpeg
1502.0,22500000.0,Keur Massar,https://images.coinafrique.com/thumb_5339433_uploaded_image1_1747864817.jpg
150.0,6000000.0,Kaolack,https://images.coinafrique.com/thumb_5339083_uploaded_image1_1747848571.jpg
150.0,11000000.0,Almadies 2,https://images.coinafrique.com/thumb_5339052_uploaded_image2_1747847747.jpeg
344.0,190000000.0,Ouakam,https://images.coinafrique.com/thumb_5292414_uploaded_image1_1745312068.jpg
170.0,92509900.0,Ouakam,https://images.coinafrique.com/thumb_5292415_uploaded_image1_1745312232.jpg
150.0,,Rufisque,https://images.coinafrique.com/thumb_5338428_uploaded_image1_1747827885.jpg
