Type_annonce,Nombre_pieces,Prix,Adresse,Image_url
Location,6,4000000,Yoff,https://images.coinafrique.com/thumb_5340921_uploaded_image1_1747937116.jpg
Location,6,1000000,Yoff,https://images.coinafrique.com/thumb_5337193_uploaded_image1_1747756924.jpg
Vente,4,150000000,Saly,https://images.coinafrique.com/thumb_5380711_uploaded_image1_1750260125.jpg
Location,6,1500000,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5380669_uploaded_image1_1750258312.jpg
Vente,Non précisé,350000000,Ouest Foire,https://images.coinafrique.com/thumb_5380344_uploaded_image1_1750246284.jpg
Vente,4,35000000,Rufisque,https://images.coinafrique.com/thumb_5379938_uploaded_image1_1750233171.jpg
Location,5,2000000,Almadies,https://images.coinafrique.com/thumb_5338813_uploaded_image1_1747838075.jpg
Location,5,1500000,Mamelles,https://images.coinafrique.com/thumb_5338773_uploaded_image1_1747836792.jpg
Location,6,1500000,Hann Bel-Air,https://images.coinafrique.com/thumb_5378544_uploaded_image1_1750158765.jpg
Vente,6,289000000,Rufisque,https://images.coinafrique.com/thumb_5378227_uploaded_image1_1750150974.jpg
Vente,4,50000000,Keur Massar,https://images.coinafrique.com/thumb_5378222_uploaded_image1_1750150701.jpg
Location,6,500000,Rufisque,https://images.coinafrique.com/thumb_5377728_uploaded_image1_1750108378.jpg
location,5,2500000,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5377339_uploaded_image1_1750091411.jpg
Location,6,3000000,Mermoz-Sacré Coeur,https://images.coinafrique.com/thumb_5377325_uploaded_image1_1750090697.jpg
Vente,3,15000000,Rufisque,https://images.coinafrique.com/thumb_5377131_uploaded_image1_1750084015.jpg
Vente,7,103,Dakar,https://images.coinafrique.com/thumb_5340494_uploaded_image1_1747918575.jpg
Vente,10,130000000,Guediawaye,https://images.coinafrique.com/thumb_5333745_uploaded_image1_1747559352.jpg
Location,5,1000000,Mamelles,https://images.coinafrique.com/thumb_5336678_uploaded_image1_1747734727.jpg
Location,6,1800000,Mariste,https://images.coinafrique.com/thumb_5375931_uploaded_image1_1750015865.jpg
Vente,8,525000000,Almadies,https://images.coinafrique.com/thumb_5375090_uploaded_image1_1749949037.jpg
Vente,Non précisé,75000000,Dakar,https://images.coinafrique.com/thumb_5375056_uploaded_image1_1749944405.jpg
